date,pred_prob_up,pred_label
2021-10-28,0.5,1
2021-10-29,0.0015906417421044379,0
2021-11-01,0.004416778794826935,0
2021-11-02,0.35443721777138143,0
2021-11-03,0.9996863407419435,1
2021-11-04,0.9998845598005113,1
2021-11-05,0.9696824730497198,1
2021-11-08,0.08980085809463247,0
2021-11-09,0.999142604380556,1
2021-11-10,0.0012561017369680167,0
2021-11-11,0.31397576845142494,0
2021-11-12,0.987599203492493,1
2021-11-15,0.8277132992318084,1
2021-11-16,0.40875259672119696,0
2021-11-17,0.6501709206094323,1
2021-11-18,0.9999805415076556,1
2021-11-19,0.23481906902094382,0
2021-11-22,0.001568427721278676,0
2021-11-23,0.6300619721328391,1
2021-11-24,0.5065214914089134,1
2021-11-26,0.004740004016402859,0
2021-11-29,0.9890143359846699,1
2021-11-30,0.018950990947469652,0
2021-12-01,0.006821653600152308,0
2021-12-02,0.3646157802553415,0
2021-12-03,0.0147655967857235,0
2021-12-06,0.9739867605723266,1
2021-12-07,0.9998199661548698,1
2021-12-08,0.4975082079301426,0
2021-12-09,0.045329674173674436,0
2021-12-10,0.03918594710579111,0
2021-12-13,0.009811918309680149,0
2021-12-14,0.285979164242259,0
2021-12-15,0.9997439825849707,1
2021-12-16,0.0005714437433857306,0
2021-12-17,0.9058949063032395,1
2021-12-20,0.0038626821114825377,0
2021-12-21,0.9991717455249097,1
2021-12-22,0.7602592677806996,1
2021-12-23,0.5143217543843932,1
2021-12-27,0.07292989352753665,0
2021-12-28,0.8697195530785341,1
2021-12-29,0.06337200588704413,0
2021-12-30,0.25255455188400405,0
2021-12-31,0.0210107146378317,0
2022-01-03,0.9996512311301565,1
2022-01-04,0.004641020590991904,0
2022-01-05,0.00135410718691851,0
2022-01-06,0.06590455425132423,0
2022-01-07,0.14469039043012175,0
2022-01-10,0.056737054289607014,0
2022-01-11,0.9999797841545863,1
2022-01-12,0.4120706296200156,0
2022-01-13,9.888193164213798e-05,0
2022-01-14,0.9319121149081223,1
2022-01-18,0.0001723367296637483,0
2022-01-19,0.00019876127490466844,0
2022-01-20,1.2804926084964382e-08,0
2022-01-21,6.913290144971615e-25,0
2022-01-24,1.0,1
2022-01-25,5.91845768574654e-101,0
2022-01-26,1.6906739070150985e-07,0
2022-01-27,0.9997159550964851,1
2022-01-28,1.0,1
2022-01-31,1.0,1
2022-02-01,0.9999985756652171,1
2022-02-02,0.02179992695196632,0
2022-02-03,6.127650004878224e-37,0
2022-02-04,1.0,1
2022-02-07,0.7409536500921541,1
2022-02-08,0.9999944071188818,1
2022-02-09,0.3481451999279535,0
2022-02-10,0.0020281178529545953,0
2022-02-11,9.400271389908848e-09,0
2022-02-14,0.9999336523874952,1
2022-02-15,0.9969381360748807,1
2022-02-16,0.9978434469206158,1
2022-02-17,7.11228625521234e-06,0
2022-02-18,9.68698312322036e-05,0
2022-02-22,1.6927745282266303e-06,0
2022-02-23,2.7514063917413213e-18,0
2022-02-24,1.0,1
2022-02-25,0.9999998282277658,1
2022-02-28,0.24938267145844276,0
2022-03-01,5.575329462760296e-06,0
2022-03-02,0.9975313874992469,1
2022-03-03,2.414820256761272e-11,0
2022-03-04,5.129688352044191e-12,0
2022-03-07,5.059340250052958e-86,0
2022-03-08,7.623295401018441e-06,0
2022-03-09,0.9999999996010607,1
2022-03-10,1.0,1
2022-03-11,2.454998384075419e-09,0
2022-03-14,3.084092321521748e-41,0
2022-03-15,1.0,1
2022-03-16,1.0,1
2022-03-17,0.9999999996060653,1
2022-03-18,0.9999995699018822,1
2022-03-21,0.6639649570196534,1
2022-03-22,0.999923007022888,1
2022-03-23,0.030141886931035144,0
2022-03-24,0.6475456656819879,1
2022-03-25,0.9425121383775237,1
2022-03-28,0.9999516875607304,1
2022-03-29,0.6542882565171311,1
2022-03-30,0.0028701717620101498,0
2022-03-31,0.0007010783348948237,0
2022-04-01,0.8094876817237646,1
2022-04-04,0.9999936315794372,1
2022-04-05,0.0001740984490923283,0
2022-04-06,2.435568165786264e-06,0
2022-04-07,0.03932342712554021,0
2022-04-08,8.451092576400724e-06,0
2022-04-11,2.2467565838258066e-07,0
2022-04-12,0.09880139902401548,0
2022-04-13,0.9999999999999947,1
2022-04-14,1.1278819352781551e-07,0
2022-04-18,0.9986638192808182,1
2022-04-19,0.9999999999997133,1
2022-04-20,7.223795854696437e-07,0
2022-04-21,1.3861763618203126e-12,0
2022-04-22,8.33402176060765e-19,0
2022-04-25,1.0,1
2022-04-26,2.269539694485235e-58,0
2022-04-27,4.161830747030981e-07,0
2022-04-28,1.0,1
2022-04-29,0.0,0
2022-05-02,0.6380226067812539,1
2022-05-03,0.34372090779752207,0
2022-05-04,0.9871146269112084,1
2022-05-05,1.866880779725465e-12,0
2022-05-06,0.046967998876246565,0
2022-05-09,3.06210497605945e-05,0
2022-05-10,0.5251458441662992,1
2022-05-11,0.006529605135405737,0
2022-05-12,0.8850088753786991,1
2022-05-13,0.9997662137656966,1
2022-05-16,0.024618595536661896,0
2022-05-17,0.9990514506691847,1
2022-05-18,4.3647868180126525e-07,0
2022-05-19,0.5703569358037911,1
2022-05-20,0.5927405317225118,1
2022-05-23,0.48818385413552695,0
2022-05-24,0.00815078328528574,0
2022-05-25,0.9673846494355528,1
2022-05-26,0.9971247215254451,1
2022-05-27,0.9981000930095809,1
2022-05-31,0.9998650676851808,1
2022-06-01,0.9592143186469545,1
2022-06-02,0.999841316041752,1
2022-06-03,0.00015710678208978642,0
2022-06-06,0.9968366635579539,1
2022-06-07,0.00841623986096767,0
2022-06-08,0.011811220021631288,0
2022-06-09,1.3144820872998207e-05,0
2022-06-10,7.078062584177009e-06,0
2022-06-13,0.00014796680329349251,0
2022-06-14,0.15383440488918082,0
2022-06-15,0.9984950988655877,1
2022-06-16,0.003732074652578509,0
2022-06-17,0.9611453939891466,1
2022-06-21,0.9642349106566134,1
2022-06-22,0.5955784550250698,1
2022-06-23,0.9935832969093505,1
2022-06-24,0.9984370115465476,1
2022-06-27,0.002525900024603627,0
2022-06-28,6.824033918023062e-05,0
2022-06-29,0.8910944141592841,1
2022-06-30,0.019607188695809116,0
2022-07-01,0.9888491243536554,1
2022-07-05,0.9969656469520426,1
2022-07-06,0.7991092108538043,1
2022-07-07,0.9683713743695035,1
2022-07-08,0.18987933160732734,0
2022-07-11,0.0011534148846304281,0
2022-07-12,0.01839386244402658,0
2022-07-13,0.847908296989469,1
2022-07-14,0.5858495262598571,1
2022-07-15,0.988273722397059,1
2022-07-18,0.5865988443329454,1
2022-07-19,0.9994288666192997,1
2022-07-20,0.9998760268038904,1
2022-07-21,0.9887275749918037,1
2022-07-22,0.0029051153565197393,0
2022-07-25,0.04617970248196733,0
2022-07-26,7.381850860806793e-07,0
2022-07-27,0.9999777768747182,1
2022-07-28,0.9478443446285353,1
2022-07-29,0.9999999999998828,1
2022-08-01,0.9279904091764529,1
2022-08-02,0.0005360519904128838,0
2022-08-03,0.9999999999995894,1
2022-08-04,1.0,1
2022-08-05,1.0924709737937525e-39,0
2022-08-08,1.122150514882182e-11,0
2022-08-09,5.3174523363886165e-09,0
2022-08-10,1.0,1
2022-08-11,4.22637484155425e-52,0
2022-08-12,1.0,1
2022-08-15,0.0,0
2022-08-16,1.0,1
2022-08-17,2.72590071862867e-48,0
2022-08-18,0.9989581537928162,1
2022-08-19,4.5927495397009365e-71,0
2022-08-22,3.763434851148782e-21,0
2022-08-23,0.8737866419255281,1
2022-08-24,0.7121381812693051,1
2022-08-25,0.9999999820244972,1
2022-08-26,2.5599903267626802e-23,0
2022-08-29,0.023019519324836844,0
2022-08-30,0.020838058147245177,0
2022-08-31,0.001345311508560792,0
2022-09-01,0.9580138507651463,1
2022-09-02,0.27190798017591156,0
2022-09-06,0.012588185010248635,0
2022-09-07,0.999936097384132,1
2022-09-08,0.7698966566335295,1
2022-09-09,0.9999964825950584,1
2022-09-12,0.9999998063338629,1
2022-09-13,3.75349570546129e-30,0
2022-09-14,0.9943383147406442,1
2022-09-15,0.0005188342320899623,0
2022-09-16,0.00034945390342784724,0
2022-09-19,0.9438146872636923,1
2022-09-20,0.0014487449894913856,0
2022-09-21,0.00019517582222065835,0
2022-09-22,0.07882755070237377,0
2022-09-23,0.0011994352406586339,0
2022-09-26,0.9089165114685948,1
2022-09-27,0.21374200073178803,0
2022-09-28,0.9979249601034391,1
2022-09-29,0.0018649379295246843,0
